,time_step_counter,season_counter,dap,gdd,gdd_cum,z_root,canopy_cover,canopy_cover_ns,biomass,biomass_ns,harvest_index,harvest_index_adj,yield_
0,0.0,0.0,1.0,21.5,21.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,2.0,20.0,41.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,0.0,3.0,20.0,61.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,0.0,4.0,20.0,81.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,0.0,5.0,22.5,104.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,0.0,6.0,21.5,125.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,0.0,7.0,20.5,146.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,0.0,8.0,20.0,166.0,0.31429501214065503,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.0,9.0,21.5,187.5,0.346665127763267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.0,10.0,23.5,211.0,0.3755580119871119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,0.0,11.0,23.0,234.0,0.4021130549386273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,0.0,12.0,20.0,254.0,0.42694236757877846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,0.0,13.0,20.5,274.5,0.4504227545269761,0.0675,0.07089058257723316,1.6868867580755234,1.7681393201302202,0.0,0.0,0.0
13,13.0,0.0,14.0,22.0,296.5,0.4728069623901052,0.07089058257723316,0.07089058257723316,3.4550260782057434,3.5362786402604405,0.0,0.0,0.0
14,14.0,0.0,15.0,21.5,318.0,0.4942749214356934,0.07445147700947427,0.07445147700947427,5.308149189526842,5.389401751581538,0.0,0.0,0.0
15,15.0,0.0,16.0,20.0,338.0,0.5149604655064015,0.07819123820647572,0.07819123820647572,7.250140006432361,7.331392568487058,0.0,0.0,0.0
16,16.0,0.0,17.0,21.5,359.5,0.5349665541690083,0.08211885079840409,0.08211885079840409,9.285039430226519,9.366291992281216,0.0,0.0,0.0
17,17.0,0.0,18.0,22.0,381.5,0.5543745425110247,0.08624375072106301,0.08624375072106301,11.417049553210898,11.498302115265595,0.0,0.0,0.0
18,18.0,0.0,19.0,19.5,401.0,0.5732501286304661,0.09057584788536044,0.09057584788536044,13.650537733261137,13.731790295315834,0.0,0.0,0.0
19,19.0,0.0,20.0,17.5,418.5,0.591647333453214,0.09512554998548226,0.09512554998548226,15.99004050339349,16.071293065448188,0.0,0.0,0.0
20,20.0,0.0,21.0,17.5,436.0,0.6096112577749204,0.09990378750297112,0.09990378750297112,18.44026727701659,18.52151983907129,0.0,0.0,0.0
21,21.0,0.0,22.0,18.5,454.5,0.6271800485626201,0.10492203996678116,0.10492203996678116,21.006103805512783,21.08735636756748,0.0,0.0,0.0
22,22.0,0.0,23.0,20.5,475.0,0.6443863364541177,0.11019236353239789,0.11019236353239789,23.692615340501963,23.77386790255666,0.0,0.0,0.0
23,23.0,0.0,24.0,19.5,494.5,0.6612583093351969,0.1157274199462807,0.1157274199462807,26.505049448621392,26.58630201067609,0.0,0.0,0.0
24,24.0,0.0,25.0,19.0,513.5,0.6778205291736723,0.1215405069652141,0.1215405069652141,29.448838421926872,29.53009098398157,0.0,0.0,0.0
25,25.0,0.0,26.0,19.5,533.0,0.6940945637535735,0.12764559030364878,0.12764559030364878,32.52960122211318,32.61085378416787,0.0,0.0,0.0
26,26.0,0.0,27.0,20.5,553.5,0.7100994823851419,0.13405733718578497,0.13405733718578497,35.75314489170539,35.83439745376008,0.0,0.0,0.0
27,27.0,0.0,28.0,17.5,571.0,0.7258522499423645,0.14079115158300562,0.14079115158300562,39.125465360242025,39.20671792229672,0.0,0.0,0.0
28,28.0,0.0,29.0,14.5,585.5,0.741368043740913,0.14786321122131568,0.14786321122131568,42.65274756832771,42.734000130382405,0.0,0.0,0.0
